GeneName	Geneid	type
AP006621.1	ENSG00000177236	gene
AP006621.6	ENSG00000255142	gene
CEND1	ENSG00000184524	gene
SLC25A22	ENSG00000177542	gene
PIDD	ENSG00000177595	gene
RPLP2	ENSG00000177600	gene
SNORA52	ENSG00000199785	gene
PNPLA2	ENSG00000177666	gene
AP006621.8	ENSG00000255108	gene
EFCAB4A	ENSG00000177685	gene
CD151	ENSG00000177697	gene
POLR2L	ENSG00000177700	gene
TSPAN4	ENSG00000214063	gene
RP11-1391J7.1	ENSG00000250397	gene
CHID1	ENSG00000177830	gene
AP2A2	ENSG00000183020	gene
U6	ENSG00000222561	gene
AP006477.1	ENSG00000264671	gene
MUC6	ENSG00000184956	gene
RP13-870H17.3	ENSG00000254872	gene
MUC2	ENSG00000198788	gene
MUC5AC	ENSG00000215182	gene
MUC5B	ENSG00000117983	gene
RP11-532E4.2	ENSG00000255177	gene
TOLLIP	ENSG00000078902	gene
AC136297.1	ENSG00000267950	gene
CTD-2245O6.1	ENSG00000255153	gene
BRSK2	ENSG00000174672	gene
MOB2	ENSG00000182208	gene
DUSP8	ENSG00000184545	gene
RP13-25N22.1	ENSG00000233930	gene
KRTAP5-1	ENSG00000205869	gene
KRTAP5-2	ENSG00000205867	gene
KRTAP5-3	ENSG00000196224	gene
KRTAP5-4	ENSG00000241598	gene
KRTAP5-5	ENSG00000185940	gene
AP006285.7	ENSG00000231487	gene
FAM99A	ENSG00000205866	gene
AP006285.1	ENSG00000256528	gene
FAM99B	ENSG00000205865	gene
AP006285.6	ENSG00000227306	gene
KRTAP5-6	ENSG00000205864	gene
IFITM10	ENSG00000244242	gene
RP11-295K3.1	ENSG00000250644	gene
CTSD	ENSG00000117984	gene
AC068580.6	ENSG00000235027	gene
AC068580.5	ENSG00000229512	gene
AC068580.1	ENSG00000265587	gene
AC068580.7	ENSG00000230834	gene
AC139143.1	ENSG00000230980	gene
AC139143.2	ENSG00000230080	gene
SYT8	ENSG00000149043	gene
TNNI2	ENSG00000130598	gene
LSP1	ENSG00000130592	gene
MIR4298	ENSG00000264493	gene
AC051649.12	ENSG00000249086	gene
C11orf89	ENSG00000184682	gene
AC051649.16	ENSG00000229671	gene
TNNT3	ENSG00000130595	gene
AC051649.1	ENSG00000252187	gene
MRPL23	ENSG00000214026	gene
MRPL23-AS1	ENSG00000226416	gene
AC051649.6	ENSG00000232987	gene
H19	ENSG00000130600	gene
MIR675	ENSG00000211502	gene
IGF2	ENSG00000167244	gene
AC132217.4	ENSG00000240801	gene
INS-IGF2	ENSG00000129965	gene
MIR483	ENSG00000207805	gene
IGF2-AS	ENSG00000099869	gene
INS	ENSG00000254647	gene
TH	ENSG00000180176	gene
MIR4686	ENSG00000265258	gene
ASCL2	ENSG00000183734	gene
C11orf21	ENSG00000110665	gene
TSPAN32	ENSG00000064201	gene
U6	ENSG00000207308	gene
AC129929.5	ENSG00000238184	gene
RPL26P30	ENSG00000236264	gene
Y_RNA	ENSG00000199550	gene
CD81	ENSG00000110651	gene
TSSC4	ENSG00000184281	gene
AC124057.5	ENSG00000230483	gene
TRPM5	ENSG00000070985	gene
KCNQ1	ENSG00000053918	gene
KCNQ1OT1	ENSG00000269821	gene
AC013791.2	ENSG00000236041	gene
KCNQ1-AS1	ENSG00000229414	gene
KCNQ1DN	ENSG00000237941	gene
CDKN1C	ENSG00000129757	gene
SLC22A18AS	ENSG00000254827	gene
SLC22A18	ENSG00000110628	gene
PHLDA2	ENSG00000181649	gene
NAP1L4	ENSG00000205531	gene
AC131971.3	ENSG00000224636	gene
SNORA54	ENSG00000207008	gene
AC131971.1	ENSG00000183562	gene
CARS	ENSG00000110619	gene
CARS-AS1	ENSG00000247473	gene
U1	ENSG00000201616	gene
AC108448.2	ENSG00000236710	gene
OSBPL5	ENSG00000021762	gene
AC108448.3	ENSG00000234791	gene
MRGPRG	ENSG00000182170	gene
MRGPRG-AS1	ENSG00000236301	gene
AC109309.4	ENSG00000224513	gene
MRGPRE	ENSG00000184350	gene
AC109309.5	ENSG00000236987	gene
AC109309.6	ENSG00000232390	gene
RP5-1173A5.1	ENSG00000254592	gene
ZNF195	ENSG00000005801	gene
AC123788.1	ENSG00000263365	gene
TSSC2	ENSG00000223756	gene
OR7E12P	ENSG00000189398	gene
FAM86GP	ENSG00000166492	gene
RP13-726E6.1	ENSG00000254757	gene
RP13-726E6.2	ENSG00000255367	gene
RP13-726E6.3	ENSG00000255522	gene
RPS3AP39	ENSG00000237226	gene
AC127526.1	ENSG00000221019	gene
RPS24P14	ENSG00000223688	gene
AP006294.2	ENSG00000230851	gene
OR7E117P	ENSG00000238161	gene
TRPC2	ENSG00000182048	gene
ART5	ENSG00000167311	gene
ART1	ENSG00000129744	gene
Y_RNA	ENSG00000201279	gene
Y_RNA	ENSG00000200201	gene
CHRNA10	ENSG00000129749	gene
NUP98	ENSG00000110713	gene
snoU13	ENSG00000238686	gene
U6	ENSG00000251934	gene
RNU7-50P	ENSG00000238304	gene
PGAP2	ENSG00000148985	gene
AC090587.2	ENSG00000250404	gene
RHOG	ENSG00000177105	gene
AC090587.5	ENSG00000228661	gene
STIM1	ENSG00000167323	gene
AC090587.4	ENSG00000229368	gene
MIR4687	ENSG00000263421	gene
AC090804.1	ENSG00000230593	gene
SNORA7	ENSG00000206976	gene
RP11-438N5.4	ENSG00000255232	gene
RP11-438N5.3	ENSG00000255141	gene
RP11-438N5.2	ENSG00000224555	gene
RPS29P20	ENSG00000240385	gene
RRM1	ENSG00000167325	gene
RRM1-AS1	ENSG00000255276	gene
OR55B1P	ENSG00000231548	gene
RP11-23F23.2	ENSG00000254480	gene
RP11-23F23.3	ENSG00000255387	gene
SSU72P5	ENSG00000237565	gene
SSU72P2	ENSG00000255194	gene
SSU72P6	ENSG00000236175	gene
SSU72P4	ENSG00000186223	gene
SSU72P3	ENSG00000186232	gene
SSU72P7	ENSG00000229542	gene
OR52B4	ENSG00000221996	gene
OR52B3P	ENSG00000175800	gene
TRIM21	ENSG00000132109	gene
OR51R1P	ENSG00000237272	gene
OR52P2P	ENSG00000171999	gene
AC010930.1	ENSG00000221030	gene
OR52K2	ENSG00000181963	gene
OR52K3P	ENSG00000225101	gene
OR52K1	ENSG00000196778	gene
OR52M2P	ENSG00000226616	gene
OR52M1	ENSG00000197790	gene
C11orf40	ENSG00000171987	gene
OR52I2	ENSG00000226288	gene
OR52I1	ENSG00000232268	gene
TRIM68	ENSG00000167333	gene
OR51D1	ENSG00000197428	gene
OR51E1	ENSG00000180785	gene
OR51A9P	ENSG00000180723	gene
OR51E2	ENSG00000167332	gene
OR51C1P	ENSG00000197674	gene
MMP26	ENSG00000167346	gene
AC103710.1	ENSG00000197426	gene
SNORA62	ENSG00000201980	gene
OR51F1	ENSG00000188069	gene
OR51N1P	ENSG00000176951	gene
OR52Y1P	ENSG00000231070	gene
OR52R1	ENSG00000176937	gene
OR51F2	ENSG00000176925	gene
OR51A8P	ENSG00000197984	gene
OR51S1	ENSG00000176922	gene
OR51H1P	ENSG00000176904	gene
OR51H2P	ENSG00000198217	gene
OR51T1	ENSG00000176900	gene
OR51A6P	ENSG00000197023	gene
OR51A7	ENSG00000176895	gene
OR51G2	ENSG00000176893	gene
OR51G1	ENSG00000176879	gene
OR51A3P	ENSG00000227023	gene
OR51A4	ENSG00000205497	gene
OR51A2	ENSG00000205496	gene
OR51A5P	ENSG00000225003	gene
OR51L1	ENSG00000176798	gene
OR51P1P	ENSG00000224300	gene
OR52J2P	ENSG00000230261	gene
OR52J3	ENSG00000205495	gene
OR52E2	ENSG00000176787	gene
OR52E1	ENSG00000236621	gene
OR52S1P	ENSG00000237354	gene
OR52E3P	ENSG00000226157	gene
OR52J1P	ENSG00000203560	gene
AC113331.9	ENSG00000236897	gene
OR52A4	ENSG00000205494	gene
OR52A5	ENSG00000171944	gene
OR52A1	ENSG00000182070	gene
OR51A1P	ENSG00000176752	gene
OR52Z1	ENSG00000176748	gene
OR51V1	ENSG00000176742	gene
AC104389.16	ENSG00000224091	gene
CoTC_ribozyme	ENSG00000221031	gene
HBB	ENSG00000244734	gene
HBD	ENSG00000223609	gene
HBBP1	ENSG00000229988	gene
CTD-2643I7.1	ENSG00000260629	gene
HBG1	ENSG00000213934	gene
HBG2	ENSG00000196565	gene
HBE1	ENSG00000213931	gene
OR51AB1P	ENSG00000229093	gene
OR51B4	ENSG00000183251	gene
AC104389.28	ENSG00000167355	gene
OR51B3P	ENSG00000223735	gene
OR51B2	ENSG00000184881	gene
OR51B8P	ENSG00000236359	gene
OR51B5	ENSG00000242180	gene
OR51B6	ENSG00000176239	gene
AC104389.31	ENSG00000230087	gene
AC104389.32	ENSG00000236248	gene
OR51M1	ENSG00000184698	gene
OR51J1	ENSG00000184321	gene
OR51Q1	ENSG00000167360	gene
OR51K1P	ENSG00000248424	gene
OR51I1	ENSG00000167359	gene
OR51I2	ENSG00000187918	gene
OR51A10P	ENSG00000230484	gene
OR52D1	ENSG00000181609	gene
UBQLN3	ENSG00000175520	gene
UBQLNL	ENSG00000175518	gene
AC087380.14	ENSG00000224295	gene
OR52V1P	ENSG00000249633	gene
OR52H1	ENSG00000181616	gene
OR52H2P	ENSG00000248553	gene
OR52B5P	ENSG00000231049	gene
OR52T1P	ENSG00000233646	gene
AC015691.7	ENSG00000229534	gene
AC015691.13	ENSG00000239920	gene
OR52B6	ENSG00000187747	gene
TRIM6	ENSG00000121236	gene
TRIM6-TRIM34	ENSG00000258588	gene
TRIM34	ENSG00000258659	gene
TRIM5	ENSG00000132256	gene
TRIM22	ENSG00000132274	gene
OR52U1P	ENSG00000232381	gene
OR52P1P	ENSG00000181109	gene
OR56B1	ENSG00000181023	gene
OR52N4	ENSG00000181074	gene
OR56B2P	ENSG00000181017	gene
OR52N5	ENSG00000181009	gene
OR52N1	ENSG00000181001	gene
OR52N3P	ENSG00000236965	gene
OR52N2	ENSG00000180988	gene
OR52E6	ENSG00000205409	gene
OR52E8	ENSG00000183269	gene
OR52E7P	ENSG00000233563	gene
OR52E4	ENSG00000180974	gene
AC025016.1	ENSG00000255257	gene
OR56A3	ENSG00000184478	gene
RP11-451K18.7	ENSG00000188691	gene
OR52L1	ENSG00000183313	gene
RP11-451K18.3	ENSG00000254831	gene
OR56A4	ENSG00000183389	gene
RNA5SP329	ENSG00000202147	gene
OR56A1	ENSG00000180934	gene
RP11-290F24.4	ENSG00000255481	gene
OR52L2P	ENSG00000262980	gene
OR52X1P	ENSG00000234895	gene
OR56B4	ENSG00000180919	gene
RP11-290F24.3	ENSG00000254444	gene
AC111177.1	ENSG00000180913	gene
AC022762.1	ENSG00000180909	gene
OR52B2	ENSG00000255307	gene
OR52W1	ENSG00000175485	gene
RP11-290F24.6	ENSG00000267940	gene
C11orf42	ENSG00000180878	gene
FAM160A2	ENSG00000051009	gene
CNGA4	ENSG00000132259	gene
CCKBR	ENSG00000110148	gene
PRKCDBP	ENSG00000170955	gene
RP11-304C12.3	ENSG00000254443	gene
SMPD1	ENSG00000166311	gene
APBB1	ENSG00000166313	gene
HPX	ENSG00000110169	gene
TRIM3	ENSG00000110171	gene
ARFIP2	ENSG00000132254	gene
FXC1	ENSG00000132286	gene
FXC1	ENSG00000265264	gene
CTD-2010I16.1	ENSG00000254595	gene
DNHD1	ENSG00000179532	gene
RRP8	ENSG00000132275	gene
RP11-732A19.8	ENSG00000254400	gene
ILK	ENSG00000166333	gene
TAF10	ENSG00000166337	gene
RP11-732A19.2	ENSG00000254641	gene
TPP1	ENSG00000166340	gene
RP11-732A19.9	ENSG00000255680	gene
DCHS1	ENSG00000166341	gene
RP11-732A19.5	ENSG00000255390	gene
RP11-732A19.6	ENSG00000255410	gene
MRPL17	ENSG00000158042	gene
RP11-732A19.1	ENSG00000241678	gene
GVINP1	ENSG00000254838	gene
GVINP2	ENSG00000254781	gene
OR2AG2	ENSG00000188124	gene
OR2AG1	ENSG00000170803	gene
OR6A2	ENSG00000184933	gene
RP11-560B16.5	ENSG00000254712	gene
OR10A5	ENSG00000166363	gene
OR10A2	ENSG00000170790	gene
OR10A4	ENSG00000170782	gene
OR2D2	ENSG00000166368	gene
OR2D3	ENSG00000178358	gene
ZNF215	ENSG00000149054	gene
ZNF214	ENSG00000149050	gene
NLRP14	ENSG00000158077	gene
RBMXL2	ENSG00000170748	gene
RP11-324J3.1	ENSG00000255179	gene
MIR302E	ENSG00000221703	gene
SYT9	ENSG00000170743	gene
CTD-2516F10.2	ENSG00000251364	gene
OLFML1	ENSG00000183801	gene
PPFIBP2	ENSG00000166387	gene
CTD-2516F10.4	ENSG00000254864	gene
CYB5R2	ENSG00000166394	gene
OVCH2	ENSG00000183378	gene
RP11-494M8.4	ENSG00000254951	gene
RP11-35J10.4	ENSG00000254707	gene
OR10AB1P	ENSG00000176716	gene
OR5P4P	ENSG00000227892	gene
OR5P1P	ENSG00000166408	gene
RP11-494M8.1	ENSG00000241008	gene
OR5P2	ENSG00000183303	gene
OR5P3	ENSG00000182334	gene
OR5E1P	ENSG00000170688	gene
U6	ENSG00000252769	gene
OR10A6	ENSG00000175393	gene
OR10A3	ENSG00000170683	gene
NLRP10	ENSG00000182261	gene
EIF3F	ENSG00000175390	gene
COX6CP5	ENSG00000254642	gene
RP11-236J17.3	ENSG00000255420	gene
TUB	ENSG00000166402	gene
RP11-236J17.6	ENSG00000254921	gene
RP11-236J17.5	ENSG00000248332	gene
RIC3	ENSG00000166405	gene
RP11-379P15.1	ENSG00000246820	gene
LMO1	ENSG00000166407	gene
STK33	ENSG00000130413	gene
SCARNA20	ENSG00000252778	gene
TRIM66	ENSG00000166436	gene
RP11-152H18.4	ENSG00000254900	gene
RPL27A	ENSG00000166441	gene
SNORA3	ENSG00000200983	gene
SNORA45	ENSG00000212607	gene
ST5	ENSG00000166444	gene
RP11-152H18.3	ENSG00000254665	gene
RP11-318C2.1	ENSG00000255159	gene
RNA5SP330	ENSG00000252905	gene
Y_RNA	ENSG00000202276	gene
AKIP1	ENSG00000166452	gene
C11orf16	ENSG00000176029	gene
ASCL3	ENSG00000176009	gene
Y_RNA	ENSG00000223080	gene
TMEM9B	ENSG00000175348	gene
TMEM9B-AS1	ENSG00000254860	gene
NRIP3	ENSG00000175352	gene
RP11-467K18.2	ENSG00000253973	gene
SCUBE2	ENSG00000175356	gene
MIR5691	ENSG00000264984	gene
KRT8P41	ENSG00000213538	gene
DENND5A	ENSG00000184014	gene
RP11-5L12.1	ENSG00000255097	gene
TMEM41B	ENSG00000166471	gene
RP11-682B13.2	ENSG00000254884	gene
IPO7	ENSG00000205339	gene
SNORA23	ENSG00000201998	gene
CTD-2371O3.2	ENSG00000254397	gene
AC132192.1	ENSG00000268403	gene
ZNF143	ENSG00000166478	gene
CTD-2371O3.3	ENSG00000255180	gene
WEE1	ENSG00000166483	gene
snoU13	ENSG00000238387	gene
Metazoa_SRP	ENSG00000243869	gene
RP11-16F15.1	ENSG00000243964	gene
RP11-16F15.4	ENSG00000255463	gene
RP11-16F15.2	ENSG00000239470	gene
SWAP70	ENSG00000133789	gene
7SK	ENSG00000201564	gene
RP11-540A21.2	ENSG00000245522	gene
SBF2-AS1	ENSG00000246273	gene
SBF2	ENSG00000133812	gene
RP11-1H15.2	ENSG00000255476	gene
RNU7-28P	ENSG00000252568	gene
RP11-1H15.1	ENSG00000254765	gene
RP11-748C4.1	ENSG00000254865	gene
RP11-351I24.3	ENSG00000254719	gene
RP11-351I24.1	ENSG00000254554	gene
ADM	ENSG00000148926	gene
AMPD3	ENSG00000133805	gene
U6atac	ENSG00000221574	gene
MTRNR2L8	ENSG00000255823	gene
RNF141	ENSG00000110315	gene
MRVI1-AS1	ENSG00000177112	gene
LYVE1	ENSG00000133800	gene
MRVI1	ENSG00000072952	gene
Y_RNA	ENSG00000206858	gene
CTR9	ENSG00000198730	gene
RP11-685M7.5	ENSG00000255125	gene
EIF4G2	ENSG00000110321	gene
SNORD97	ENSG00000238622	gene
RP11-685M7.3	ENSG00000246308	gene
ZBED5	ENSG00000236287	gene
CTD-2003C8.1	ENSG00000247271	gene
CTD-2003C8.2	ENSG00000250041	gene
RP11-179A10.1	ENSG00000254401	gene
RP11-179A10.2	ENSG00000254957	gene
MTND5P21	ENSG00000255123	gene
CTD-3224I3.3	ENSG00000255260	gene
GALNTL4	ENSG00000110328	gene
CSNK2A1P	ENSG00000254598	gene
RP11-567I13.1	ENSG00000255351	gene
RP11-483L5.1	ENSG00000255462	gene
MIR4299	ENSG00000266645	gene
AC131935.1	ENSG00000268242	gene
RP11-756D7.1	ENSG00000255309	gene
USP47	ENSG00000170242	gene
CTD-2381F24.1	ENSG00000255492	gene
DKK3	ENSG00000050165	gene
RP13-631K18.2	ENSG00000254486	gene
RP13-631K18.3	ENSG00000254991	gene
RP13-631K18.5	ENSG00000255400	gene
MICAL2	ENSG00000133816	gene
RP11-265D17.2	ENSG00000254680	gene
MICALCL	ENSG00000133808	gene
RP11-573E11.2	ENSG00000254983	gene
AC025300.1	ENSG00000264283	gene
PARVA	ENSG00000197702	gene
RP11-51B23.3	ENSG00000254847	gene
TEAD1	ENSG00000187079	gene
RP11-47J17.3	ENSG00000254688	gene
RP11-47J17.1	ENSG00000255067	gene
SCARNA16	ENSG00000252329	gene
RP11-47J17.2	ENSG00000203258	gene
CTC-497E21.4	ENSG00000251381	gene
AC084859.1	ENSG00000266625	gene
CTC-497E21.3	ENSG00000254670	gene
RASSF10	ENSG00000189431	gene
CTC-497E21.5	ENSG00000255558	gene
RP11-413N13.1	ENSG00000255018	gene
ARNTL	ENSG00000133794	gene
7SK	ENSG00000222162	gene
BTBD10	ENSG00000148925	gene
RP11-15D14.1	ENSG00000254583	gene
RP11-15D14.2	ENSG00000255401	gene
PTH	ENSG00000152266	gene
HMGN2P36	ENSG00000228901	gene
FAR1	ENSG00000197601	gene
FAR1-IT1	ENSG00000254791	gene
RPL39P26	ENSG00000240454	gene
Y_RNA	ENSG00000200685	gene
RP11-23B7.3	ENSG00000255075	gene
RP11-23B7.4	ENSG00000255088	gene
RP11-98J9.1	ENSG00000255411	gene
RP11-98J9.2	ENSG00000254927	gene
RP11-98J9.3	ENSG00000254930	gene
RNA5SP331	ENSG00000201856	gene
RP11-231N3.1	ENSG00000254438	gene
SPON1	ENSG00000152268	gene
RNA5SP332	ENSG00000212365	gene
RP11-21L19.1	ENSG00000254418	gene
RRAS2	ENSG00000133818	gene
RP11-140L24.3	ENSG00000255074	gene
COPB1	ENSG00000129083	gene
RNU7-49P	ENSG00000251991	gene
PSMA1	ENSG00000129084	gene
PSMA1	ENSG00000256206	gene
PDE3B	ENSG00000152270	gene
RP11-677N16.1	ENSG00000255040	gene
CYP2R1	ENSG00000186104	gene
CALCB	ENSG00000175868	gene
CALCP	ENSG00000253179	gene
CALCA	ENSG00000110680	gene
RP11-7O20.4	ENSG00000250640	gene
INSC	ENSG00000188487	gene
snoMBII-202	ENSG00000253072	gene
RP11-531H8.1	ENSG00000254946	gene
RP11-531H8.2	ENSG00000254789	gene
RP11-396O20.1	ENSG00000254695	gene
RP11-396O20.2	ENSG00000254645	gene
RP11-222N13.1	ENSG00000254661	gene
SOX6	ENSG00000110693	gene
CTD-3096P4.1	ENSG00000254878	gene
AC103794.1	ENSG00000221556	gene
RP11-449L13.2	ENSG00000213785	gene
Metazoa_SRP	ENSG00000241943	gene
C11orf58	ENSG00000110696	gene
PLEKHA7	ENSG00000166689	gene
7SK	ENSG00000199883	gene
U6	ENSG00000251928	gene
RP11-466H18.1	ENSG00000244398	gene
AC116533.3	ENSG00000266493	gene
OR7E14P	ENSG00000184669	gene
AC116533.2	ENSG00000264378	gene
AC116533.1	ENSG00000221322	gene
RPS13	ENSG00000110700	gene
SNORD14A	ENSG00000201784	gene
SNORD14B	ENSG00000201403	gene
PIK3C2A	ENSG00000011405	gene
U6	ENSG00000201586	gene
CTD-3236F5.1	ENSG00000240808	gene
RP11-452G18.1	ENSG00000213779	gene
NUCB2	ENSG00000070081	gene
RP11-452G18.2	ENSG00000197149	gene
NCR3LG1	ENSG00000188211	gene
RP1-239B22.5	ENSG00000260196	gene
KCNJ11	ENSG00000187486	gene
ABCC8	ENSG00000006071	gene
RP1-239B22.4	ENSG00000255035	gene
USH1C	ENSG00000006611	gene
OTOG	ENSG00000188162	gene
RP11-358H18.3	ENSG00000254586	gene
RP11-358H18.2	ENSG00000255335	gene
MYOD1	ENSG00000129152	gene
KCNC1	ENSG00000129159	gene
SERGEF	ENSG00000129158	gene
RP1-59M18.2	ENSG00000255448	gene
TPH1	ENSG00000129167	gene
SAAL1	ENSG00000166788	gene
HIGD1AP5	ENSG00000255254	gene
SAA3P	ENSG00000166787	gene
MRGPRX3	ENSG00000179826	gene
RP11-113D6.6	ENSG00000255470	gene
RP11-113D6.3	ENSG00000254857	gene
MRGPRX4	ENSG00000179817	gene
AC090099.1	ENSG00000221037	gene
AC090099.2	ENSG00000224002	gene
GLTPP1	ENSG00000255138	gene
RP11-113D6.9	ENSG00000254546	gene
RP11-113D6.10	ENSG00000189332	gene
SAA4	ENSG00000148965	gene
SAA2-SAA4	ENSG00000255071	gene
SAA2	ENSG00000134339	gene
RNA5SP333	ENSG00000200336	gene
ST13P5	ENSG00000212789	gene
SAA1	ENSG00000173432	gene
RNA5SP334	ENSG00000201695	gene
HPS5	ENSG00000110756	gene
GTF2H1	ENSG00000110768	gene
MIR3159	ENSG00000264603	gene
LDHA	ENSG00000134333	gene
AC084117.3	ENSG00000256006	gene
LDHC	ENSG00000166796	gene
RP11-613F22.7	ENSG00000256734	gene
LDHAL6A	ENSG00000166800	gene
TSG101	ENSG00000074319	gene
RP11-613F22.5	ENSG00000256464	gene
RP11-613F22.8	ENSG00000256588	gene
RP11-613F22.6	ENSG00000256361	gene
UEVLD	ENSG00000151116	gene
RP11-504G3.4	ENSG00000256282	gene
SPTY2D1-AS1	ENSG00000247595	gene
SPTY2D1	ENSG00000179119	gene
RP11-137N23.1	ENSG00000257043	gene
TMEM86A	ENSG00000151117	gene
IGSF22	ENSG00000179057	gene
RP11-1081L13.4	ENSG00000254966	gene
PTPN5	ENSG00000110786	gene
AC103974.1	ENSG00000265940	gene
RP11-583F24.7	ENSG00000254529	gene
RP11-1081L13.3	ENSG00000255511	gene
RP11-583F24.6	ENSG00000254541	gene
RP11-583F24.5	ENSG00000255536	gene
MRGPRX1	ENSG00000170255	gene
RP11-583F24.8	ENSG00000255244	gene
RP11-583F24.4	ENSG00000254738	gene
RP11-583F24.3	ENSG00000254720	gene
RP11-589F4.2	ENSG00000255424	gene
MRGPRX2	ENSG00000183695	gene
ZDHHC13	ENSG00000177054	gene
CSRP3	ENSG00000129170	gene
RP11-428C19.4	ENSG00000255308	gene
E2F8	ENSG00000129173	gene
PCNAP4	ENSG00000254544	gene
RP11-428C19.5	ENSG00000255160	gene
NAV2	ENSG00000166833	gene
NAV2-IT1	ENSG00000255270	gene
RNA5SP335	ENSG00000200687	gene
NAV2-AS5	ENSG00000255043	gene
NAV2-AS4	ENSG00000254622	gene
MIR4486	ENSG00000265210	gene
SNORA1	ENSG00000207407	gene
MIR4694	ENSG00000264309	gene
NAV2-AS3	ENSG00000254542	gene
NAV2-AS2	ENSG00000254453	gene
NAV2-AS1	ENSG00000254894	gene
DBX1	ENSG00000109851	gene
HTATIP2	ENSG00000109854	gene
PRMT3	ENSG00000185238	gene
RP11-701I24.1	ENSG00000255291	gene
SLC6A5	ENSG00000165970	gene
NELL1	ENSG00000165973	gene
RP11-701I24.3	ENSG00000254906	gene
RNA5SP336	ENSG00000201059	gene
RP11-670N15.2	ENSG00000254816	gene
RP11-670N15.1	ENSG00000255167	gene
CTD-2302A16.2	ENSG00000225477	gene
RNA5SP337	ENSG00000252816	gene
CTD-2019O4.1	ENSG00000254820	gene
ANO5	ENSG00000171714	gene
CTD-3064C13.1	ENSG00000255372	gene
CTD-2140G10.2	ENSG00000254768	gene
SLC17A6	ENSG00000091664	gene
CTD-2140G10.4	ENSG00000254540	gene
CTD-2140G10.1	ENSG00000255323	gene
RP11-34N19.1	ENSG00000255357	gene
FANCF	ENSG00000183161	gene
AC103801.2	ENSG00000229387	gene
GAS2	ENSG00000148935	gene
RNA5SP338	ENSG00000222427	gene
